职位,地区,公司,薪资待遇,学历经验,公司领域,详情页
Python,宁波·鄞州区·印象城,诺微软件,7-9K,本科,互联网,https://www.zhipin.com/job_detail/55e375007c6351651nB_39y0FFtV.html?lid=8nbJ7Jdr6PW.search.62&securityId=7R_dU7RMKv2ke-G1FuUWjyhSq8mGctedmJ3W2oMMVumjUgEnWBAe_uebtyi3DVQSLqL8N-SJb26wqGRpa8A1ZqTV5vb4zsMuWUX2vZXtyz9wytK9mg~~&sessionId=
Python,北京·朝阳区·安贞,构力,15-16K,本科,计算机软件,https://www.zhipin.com/job_detail/474db2da9ef9a91d1nFy0tW8FVtV.html?lid=8nbJ7Jdr6PW.search.63&securityId=Y5ta2A1hTvTVi-u14TMgNdfSGDuMcuTjTd0MPRtoAyRJMapPBkGFHRTKFtY7OTwRMrpY31LxVgXRkuoZFuUhfzGAQU09IMQdJeoHyp1m117AmvGq&sessionId=
Python,南京·雨花台区·宁南,松勤,15-25K,本科,计算机软件,https://www.zhipin.com/job_detail/7805b6b395fe6dc51n192920Flc~.html?lid=8nbJ7Jdr6PW.search.64&securityId=XM6qiRb3OmjOd-f1G8A7Tnf6wjvpSnEXTXE1bbG4hNXVQzo7-I4OSpreljpEwBkkAOlRRJ7E8fxXbOEgTGxM6-v7HFok6XCRBLQpbHTBG3CcHsgJ&sessionId=
Python,北京·海淀区·西三旗,上海艾融软件,16-17K,大专,计算机软件,https://www.zhipin.com/job_detail/71aaf26b667627211Xd629-7GFJV.html?lid=8nbJ7Jdr6PW.search.65&securityId=Hx8LS5ntrFfxZ-51XqXJ0-z555cf5dQ8vhIYYbVdsekEyKD8u90ZWV_sFTalLFpSWesRUSc7qp055AWlN9HcHhE1gjdaC0UfPgpeVIqO5RBp4bsdHtZTvRueAG8h-obGQoZI1Rca24ekF0ca3WMp&sessionId=
Python,北京·东城区·朝阳门,育航达教育,12-20K,本科,培训机构,https://www.zhipin.com/job_detail/25f538f10006331e1XR-29-5GFdQ.html?lid=8nbJ7Jdr6PW.search.66&securityId=OAIl1QQ9gkyeB-21u-lz91BxStraOlUi7kzdRPz0DgRdBW9zq8QCB5-IgQNSbj4RDp2O-KszFyxMKKqbVmhUtdgyVRO-uZzaq8BclIM_jny4TRoTWQ8~&sessionId=
Python,深圳·南山区·西丽,QUARWISE,12-18K,大专,互联网,https://www.zhipin.com/job_detail/d899fc9110e3044a1XR629q1ElZQ.html?lid=8nbJ7Jdr6PW.search.67&securityId=Q4uIzsk7U33cK-R1WmQ8LGtV5oKoNejmLsOZODNnHeJvwHdg3wLzSof0VNeAK6JVejmSCjYsF9d3AhzedXy3dhLrl6ZmZzoVsS-EXV0U2gpi4fcpiEA~&sessionId=
Python,北京·海淀区·知春路,神州飞跃,20-30K,本科,移动互联网,https://www.zhipin.com/job_detail/1206a7b396de89351XR829u5EFtV.html?lid=8nbJ7Jdr6PW.search.68&securityId=_0TnR2IlmHo6U-l1T83B0z0AalOkJGBAgF84SxuJwOYtyhUD7De18LeYHw_-nBQEpNxwUj1YLiZisJs5YB7lUX_1FXac3MYXWty34R-MwtbOqeo0E7J4HvxkRIQtuAY7CR5HJUaf_Da6qnTrZfNlFPA~&sessionId=
Python,西安·未央区·三桥,左左右右,1-2K,大专,计算机软件,https://www.zhipin.com/job_detail/87a9f5c15cb201991nd42t21FVNQ.html?lid=8nbJ7Jdr6PW.search.69&securityId=ywbckm2ww1HOB-G1rDMwb1HqdkNEMdQ5C-aPwZOdXtIwSXZjqLc6WvLaaGiyTYjPNzIjDdwmgUdZcfTBtiRXRWl01vALBFBG_IeF4R7k9GBFajUJ0cnZ&sessionId=
Python,南京·浦口区·沿江,东方价值线,8-15K,本科,计算机软件,https://www.zhipin.com/job_detail/e0e9902a0b4bf8761nJ729q6GFc~.html?lid=8nbJ7Jdr6PW.search.70&securityId=bAOpxV4jdzmG5-p1BjVc3JBur9G1MAtZIo9iO8Ecm6A7NkyEvx6FEOZOv_0SMfSyQtePnTfctZWIG68Rp-xhRbm2-1SdGvdii95upMxr7Dx6g_Ad&sessionId=
python,北京·怀柔区·雁栖,大微天成,10-15K,本科,计算机硬件,https://www.zhipin.com/job_detail/37e2e89719eccc7f1nV739W6FldV.html?lid=8nbJ7Jdr6PW.search.71&securityId=f4xolJPMo7eHb-L1waRbWRzAbbdcH8yydvM4vGyfM3QJMp_aGjK_E8_dun4MkpsyMgJeFnMkikf8jslzaTSZpMicl2j3Z9mNSZpSpocbXT_mwbi88pU~&sessionId=
Python老师,无锡·梁溪区·崇安寺,无锡码言码教育科技,6-11K,本科,培训机构,https://www.zhipin.com/job_detail/3fbe1aa3ba641a7d0H172d-_EVI~.html?lid=8nbJ7Jdr6PW.search.72&securityId=RzrAe6rKj2REL-91m96VyQL6qDjOw0P8RMMGzymjTKsqnrSfb4ggzQ0bZNoofd8tj9K08ltFMuj8A7RaplPqX2edZG9amK2de94jmXEHuqNo9ch4&sessionId=
Python爬虫,昆明,文达智能母婴科技...,15-16K,大专,计算机服务,https://www.zhipin.com/job_detail/0ffd9ed8f0f040cd1nF83dS-EFtV.html?lid=8nbJ7Jdr6PW.search.73&securityId=kCULLWh92DsB9-a1hJHVgfJ-HTg31iayiQT_hDdQXeNiQJDuPc-IJUcT8l3zBuBXaUBA0eVwK0GN2WGi6b_trpI8nBwTHqmGNSjmYTCUFR8EaoXVLeY~&sessionId=
Python讲师,张家口·桥西区·尚峰,飞编客,3-5K,大专,培训机构,https://www.zhipin.com/job_detail/2b7b827163042bae1Xdy2tq8FFJV.html?lid=8nbJ7Jdr6PW.search.74&securityId=gRtLRxkwewyKr-q1PkaBnwVMuRZ6QNr6XlUAJgZMkVX_5o76clHQICKDjBFoIS4HAFXrP-_DnqBmSQ8Az6uM5xKG9oRw31J2Yl66RsbCnrM0gkWrW1G4&sessionId=
Python教师,台州·椒江区·商业街商区,方程士青少年编程,7-12K,本科,培训机构,https://www.zhipin.com/job_detail/eadd9370cd3eb5021XR82dm8GFJQ.html?lid=8nbJ7Jdr6PW.search.75&securityId=hU-Xmh777xurI-T1pNQ2veSB6pgvAfoxVQ_s7om6xHsqebHqYrgbLtJGqh3m9ADADr2att6LsQMBXh2epNaVZ2jjZTtjtgKrdAemVSrWQp1voYhvRx8~&sessionId=
Python讲师,天津·武清区·下朱庄,奥丁创客,100-200元/天,12个月,培训机构,https://www.zhipin.com/job_detail/891b5f0b4f0e91311XRz3dS_EFZV.html?lid=8nbJ7Jdr6PW.search.76&securityId=0BDTMya4nIPQV-g1tF_PJ2k5F3jihQMDL57Gbn2tiAnjDvrt3UShP4j8_L38gNkb7_MkBbOCOgstT3bAHO2BKnlCJ4VINKaDKQADQGpQmUjRS9YCpg~~&sessionId=
python开发,贺州·八步区·贺州市政府,微杨设计工作室,5-10K,本科,装修装饰,https://www.zhipin.com/job_detail/27329586a64afd471XB82t29EVJQ.html?lid=8nbJ7Jdr6PW.search.77&securityId=qCjcR8-L_XH8R-d1NR-zyUYJa_uG7ksSK20KAg8CsqCD086vduCmPKGM63rywzLLEMDQszPrkaS1q-vkNB42uXts1BJwJ_NekwSsQJd0rtD7Je3DWpXd&sessionId=
python开发,杭州·西湖区·黄龙,盈丰软件,6-10K,本科,计算机软件,https://www.zhipin.com/job_detail/8932f2eb19b537ff1XV609i8F1NQ.html?lid=8nbJ7Jdr6PW.search.78&securityId=DsGC_u5iRDDpo-v1xGlj2hNXW6chH4_XA1KaKYr_5BRs_LxsDKsiT-5Bd9cSquw5viZDIrn---0ot3SMpdntQjSLPwM1qneq9JHDAOSj4baji2Df&sessionId=
急聘Python,淄博·张店区·银泰城,盈安信息科技有限公司,5-7K,本科,计算机软件,https://www.zhipin.com/job_detail/e24cb1bc28bfc7363nx-0968E1I~.html?lid=8nbJ7Jdr6PW.search.79&securityId=QiU1Vbzp6hiJC-b14m73C27KQ12nH9t0o6mOEEmfXK7ri7GBzmgFvPLhrs7gh2c0UcEwwxF0SmvT0L6K_2FKrob1UmGaIwhxn_HJaNijvGvln9nN0Vw~&sessionId=
python助教,武汉·蔡甸区·江汉大学,卡巴Kabba教育,9-13K,本科,培训机构,https://www.zhipin.com/job_detail/a7de5c922e0419491XF40t-6FFNW.html?lid=8nbJ7Jdr6PW.search.80&securityId=6btMaV62KaDIU-w1uVb3rLzCZSI1WP40_uTeq6dZLqRjMzHxCAbKwvsAL287strugjH9hsdjoSxQuuadfYeCyGW308iesG0GD0z2RrIBcHvkMb4rOA~~&sessionId=
python老师,南昌·西湖区·洪城大市场,魔克教育,5-8K,本科,培训机构,https://www.zhipin.com/job_detail/2c04feb14b4d6bf61XF_2Ni1E1ZQ.html?lid=8nbJ7Jdr6PW.search.81&securityId=vh6i7a5PLwfBW-A1nhkr8JIGrGWqsy5Pjzq3jeQfuzBzJDBbpsESp8-gL3V4jF3ETEjOTXwQumI_phJeF-Uol_5jTGHy-IKIM12wHZIzwkV3hUKinRXW&sessionId=
python后端,杭州·滨江区·长河,讯锡科技,10-15K·13薪,本科,计算机软件,https://www.zhipin.com/job_detail/2945885d9056ec2c1XF73dW9GFBV.html?lid=8nbJ7Jdr6PW.search.82&securityId=G2KE2iUjjh7r0-C1ghtgh_sMihwDcDkSjL3Ct7w2vWcop3WZo-yvOHcKKQtmszrN6rXk8I5fJ6v0aO6vxq-0Yl4bUQIUNtgOXnbWePnD-5tglqztEZ9vWvV8vVSUff2_vRVx1Pkx49itYwmTb7JU1w~~&sessionId=
Python教师,广州·花都区·花山,圣地编辅侠,8-13K,硕士,培训机构,https://www.zhipin.com/job_detail/8f57f064406dc3ec0Hx62d2-FlI~.html?lid=8nbJ7Jdr6PW.search.83&securityId=qxDy48Y0IFCxY-61txMHUYisgE-DRwEmew8Gt2JjC-XzvPL-EpNIhRucG8WO5vHmQtClUx2uaRDcAB4eeJmcdwo9bkZNFSWHmpRIArMqN6silRQbh15F3pZ8UJjcfByI7SL5mMtPJXKR-kJcPvQ4&sessionId=
python讲师,晋中,智学时代,9-14K,大专,计算机软件,https://www.zhipin.com/job_detail/31419af5a06a1cc41XB409u-EVJQ.html?lid=8nbJ7Jdr6PW.search.84&securityId=F2dOXV2F2X4Mf-l1lTFwpFV34p7ekCYi4hYkxvYv4su-bBHDsrGjzN_3TvCTEPDy5mS7h3NLwOKzGyiE-2P_ECDUspSQtlmzPaap9d-xdkAuas_Kig~~&sessionId=
Python讲师,银川·兴庆区·新华,尊雨教育,5-10K,本科,培训机构,https://www.zhipin.com/job_detail/bad526944bcd0ea01XZ63ty6E1pV.html?lid=8nbJ7Jdr6PW.search.85&securityId=ogk18HdTXvsIZ-d1IyH2iCjizMWdeXifRAjVYApr936N7NMtY98QBe7MlqN4wgXKuiLXo_MpoV86qHUmSAq0mOZHZ2kpEqgW4nJuLFWOeDx3uvQmOBNF&sessionId=
Python测试,上海·浦东新区·张江,卓亚医药,7-12K,大专,医疗健康,https://www.zhipin.com/job_detail/66ccc9a2e8b030b51XV-2tS_EVVQ.html?lid=8nbJ7Jdr6PW.search.86&securityId=wk565YW26YVxe-R1hi1o-Padvt3ls2txJC3sNm4Rhkb9HvB4ND_2ka-oimbM9fYUA5I1d5QoWts6SIupZHLi8Gb1c7yI0wGho5SZJdDNxgTKUADRuA~~&sessionId=
高级Python,北京·海淀区·上地,青藤云安全,30-40K·14薪,硕士,信息安全,https://www.zhipin.com/job_detail/3c9323b3af684e511nZ82dW0E1ZQ.html?lid=8nbJ7Jdr6PW.search.87&securityId=ciJOPpDGWQhhB-o154ue37f3eLRjUjBjfV0zKMlpOQPjioIqdRvUELv26-jiHxn8_3Eaf4UgaveVjbjg3EOHZjbGBpKRF44_ydqO9Oh7aLI~&sessionId=
python开发,南京·江宁区·大学城,软通动力,11-20K,本科,计算机软件,https://www.zhipin.com/job_detail/edb2a0c4a1bc816f0HZy3d26EFQ~.html?lid=8nbJ7Jdr6PW.search.88&securityId=OXE5N1ZnEcwa9-m1YwvneGVcqzgbvx_wqtzZTeDJGS4MGxCiQ2n6PYZcj91GYnFjZy2Zm7Nsslqsg1wf6KtJ-fJ0NIa3lfqGUCmnt1PdICDfFI6isNAVYOfoWRZRS-TdSRx7WKSdVPkVnblXfHxf8Q~~&sessionId=
python实习,杭州·西湖区·高新文教区,淘乐创想,150-160元/天,6个月,移动互联网,https://www.zhipin.com/job_detail/bb2d34c283dd97e81XR439W0ElpQ.html?lid=8nbJ7Jdr6PW.search.89&securityId=RneaTTfaYj1nA-q1gT-cFoAZ2cgFywIOy3KCTDBYe_2h6WFIkode3jlsmvo-pBdfR06eGXq-twEs--bsw4ghfXAmEvPl30MBpCF5QK75XgovN9v3Mg~~&sessionId=
Python助教,长沙·岳麓区·麓谷,六星教育,4-9K,大专,在线教育,https://www.zhipin.com/job_detail/ad911bc5946816071XV_2dy4FFNW.html?lid=8nbJ7Jdr6PW.search.90&securityId=d8_cOfVR-irT7-G13lk3DUYiU2DAmuV9xcdziGuij2254tf5fQJINHmTHl6I1tRVNtaJCsYyIhlrysIQSFWGgMtpCQNM6j46Qx8UzHnkKSu6BGpxqA~~&sessionId=
python,桂林·七星区·三里店广场,中软国际,12-24K,本科,计算机软件,https://www.zhipin.com/job_detail/b33195b118236ded1nFz096_EVFQ.html?lid=8nbJ7Jdr6PW.search.91&securityId=9FuMCC1nMFze3-i1P0YYXQGNZDZ5glr0FzuD21oxL8TuPREOLVND181J3kX-H-5Iz-701h7ZrKYOIa4sDwH6y1Hb-4JXw0ZlWOqn7pzis62aVBM017sK0E1LUEy8A4zVjSL4epv6awCbg9oSIQ~~&sessionId=
Python,广州·天河区·时尚天河,查士丁,13-23K·13薪,本科,计算机服务,https://www.zhipin.com/job_detail/bcfcd0c29ed6e5ac1XV52dy5ElVQ.html?lid=8nbJ7Jdr6PW.search.92&securityId=HQBOC8lTvpGeX-T1RSWhOs685ZF-m_2oKpHaLtPJbdn5AFc_LZfYIUzh-B4xrDM2hLIlgyrxaenUf4uCFuD06JbmR7l9O-ZtWbudd-oHS_pRNk3hZNc~&sessionId=
Python,北京·海淀区·上地,北京纬信无线,11-22K,本科,通信/网络设备,https://www.zhipin.com/job_detail/3daa991ae8a4cc521nV-3dm9FFJV.html?lid=8nbJ7Jdr6PW.search.93&securityId=iXKAv6NPNg1JD-i1-5UkW2CLGmkLAKQGBaFFnm7Ea_CSdAlRbBNwQ3WIZvEQB9F_XaXHk3pFCCBQ2YLVAN4nokV5VaDEMt31dwbd3XxC8PhxekE~&sessionId=
Python,唐山·路北区·兴源道,灵动机器人活动中心,4-6K,本科,在线教育,https://www.zhipin.com/job_detail/f209c4eabc26bb021n183dS0EFI~.html?lid=8nbJ7Jdr6PW.search.94&securityId=-8M3VUF2QYKh--S1gIuA7dIhzk6udDNLpTIuHDUdrOPiacP0-xm-zUmMZXVZIOfx8hjO0uevOQf2wFkOnhK7rVfb-4876WjKe3CQpe-63dxk6uBP&sessionId=
Python,上海·静安区·汶水路,宝尊电商,15-16K,本科,互联网,https://www.zhipin.com/job_detail/2d296bb73ca5bf551nN409-1FFVV.html?lid=8nbJ7Jdr6PW.search.95&securityId=zXAktdcVbxDnK-81uOaLMncYSUXuwoXF7ziuA8XkEAcZncpVH55jIDh911FdbyQ591M-imPbynSWXmXiGishVC_HIP9embvFtC6LRY75VyBRBA~~&sessionId=
Python,西安·莲湖区·土门,山西慢快科技有限...,3-6K,大专,移动互联网,https://www.zhipin.com/job_detail/594deef34ee44ac51XF70tm8GVFQ.html?lid=8nbJ7Jdr6PW.search.96&securityId=pRcdiqcmSSP0K-I1nJ6rhJT2a3svv8ChBwDQPdu-Bhz-WC009BMIc-4r7o0ucVLDK5sJ1l_Yoeo7pbXM5paEt3ImLjpdMe4-yNlO0wSIGXsSPcqYXA~~&sessionId=
Python,深圳·罗湖区·莲塘,掌世界,12-20K,大专,游戏,https://www.zhipin.com/job_detail/44751479b3e114931XR509-0F1JV.html?lid=8nbJ7Jdr6PW.search.97&securityId=tYBxdGvvIauoA-R1eqLWG70jjoiaXch2UU_BRpnGfZ0VxZJ4kkA5LTlpxn570fTw_2wwfZ0t7NR0Ir5K9E8_lLutrqHy5bpmB1dVJhu10hMgdxMaLw~~&sessionId=
Python,北京·大兴区·亦庄,京东零售,20-40K,本科,电子商务,https://www.zhipin.com/job_detail/aef95981388b22a21nx83Nq1EVNV.html?lid=8nbJ7Jdr6PW.search.98&securityId=w4vyAZ3eOEMZA-r1SYNnosDgADMIHSs7sweH8Lw5YY5S6St60DF0sUI915XYX1EISeYij6PAvsmfaxzwAH0ILhGOqEAslE8ujlNLc4w05_5q05P1Xw~~&sessionId=
Python,东莞·南城街道·南城,微控网络,9-11K,本科,计算机软件,https://www.zhipin.com/job_detail/512c86c8543c88920HN42tm-EVM~.html?lid=8nbJ7Jdr6PW.search.99&securityId=3rOrQdsTUxHNC-v19_mfuqOzCQlgb-LX1V7pPAnkvN_cEBPdfS6tPIyNlwz9bhjU88Tn-zmfearfFiD2rdAVe0my3lBNlFcDwtleREDUDyqTMbf-&sessionId=
Python,深圳·宝安区·福永,维通达,8-13K,大专,物流/仓储,https://www.zhipin.com/job_detail/62de4a8c10df4eaa1XZz0926EFNW.html?lid=8nbJ7Jdr6PW.search.100&securityId=_ROdCapKjL1ho-J15kbvIVzPOh-hOgUe-NyFPr1vEC7wYf5GY1kSOolAJLlqZF5ssK5duzzlrrn5mQxQBxMXU53_q8nL04-ocJ6WCF9fGCKZlEMr&sessionId=
Python,郑州·金水区·CBD,国信投资,5-8K,本科,互联网金融,https://www.zhipin.com/job_detail/0d4bdb164728040c1n1509W_FlI~.html?lid=8nbJ7Jdr6PW.search.101&securityId=hEn5EhKyh5mj9-P19q5LuR_hbVtK4cv2psd9WrB3WGuIv3uBk57QjiS0ANdPS_F5uiA2MVY3Qzs2s8TK98JLk5w8c6dwVUINcGO6z2jb2i-bilE~&sessionId=
python讲师,河源·源城区·沿江,河源市乐创教育科...,8-9K,大专,培训机构,https://www.zhipin.com/job_detail/db3159cac48b11b31XB50t66FVpQ.html?lid=8nbJ7Jdr6PW.search.102&securityId=iCCqiRyX-hYZ8-U1K0O6Iel6Oiv8GEzX9KY9ZLKDepId_OSVtjxaY05eiUqaYycguU0Mdir9FnWh6ibpEMawSAM5Fale7YJIfyLrs2tL_Q2IyYFekVI~&sessionId=
python开发,北京,溪流科技,11-20K,本科,互联网,https://www.zhipin.com/job_detail/5f85de49abf52f5a1nZ52Nq4EVFV.html?lid=8nbJ7Jdr6PW.search.103&securityId=-SWJDY1lJoXPi-c1w2Kqqx_uqwzl7-GAF2Juq53ZV7xGIvtAicEle3hEjk5bFa9O5OeUyw7zNx1LxEakuk4lNy2ZuDmH9zCelrpUyGZe6TRS3wH4mQ~~&sessionId=
Python老师,威海·环翠区·大世界,诺贝尔编程,5-6K,大专,培训机构,https://www.zhipin.com/job_detail/e17f4007f86e914a1XV42Ny-GFtV.html?lid=8nbJ7Jdr6PW.search.104&securityId=AYxOPmwW9fyeW-V14ueQlL5hFwjYR2cL5hgasenkY0EJyyyiiHZZRxn8Q_uK0ERkpXda1c_ImdHbYI53m5UJcrNO4AZ6fy_zVEYc5vEutIlGOvcAzFQ~&sessionId=
Python老师,苏州·昆山市·周市,智乐乐高,5-10K,大专,培训机构,https://www.zhipin.com/job_detail/6d73cfdba16e1b071Xd439W0GFtV.html?lid=8nbJ7Jdr6PW.search.105&securityId=4xRWs7xDmWpMy-c1o6DzRmZpgBXYtNtw0eDW8o5-uzyz9DOzINlURLj4D8X-dobRNkTe1pdTHtw-ElRYEqN7cKRQxSXJbFtQ7z3M6EC6HB7U-TbOrbFzCSaHw9P7XN_LBRa2XcS-VWSuQ5_-CxYIjQ~~&sessionId=
python爬虫,福州·闽侯县·新西客站,中赢在线,6-9K,大专,互联网,https://www.zhipin.com/job_detail/e204b84e2fb363c11XV72tW6GVFQ.html?lid=8nbJ7Jdr6PW.search.106&securityId=DxyiCJ4FW81v2-y1psEC3zcU4OWF07gMNiJUeuXKtOzsHVlKduquAFolosqY5ftatRpXgzml1InV29aySl51GAxyuE9ZnvgXg8Ut8UDNnGyu6lwguEo~&sessionId=
python开发,深圳·龙华区·民治,大漠大智控,12-20K·14薪,本科,智能硬件,https://www.zhipin.com/job_detail/6ff856d3eeef831b1XF52dq4F1RV.html?lid=8nbJ7Jdr6PW.search.107&securityId=3yWAQ8Te7M0LO-71bf_YeJy6fSsaoJwF8wuk0msamGG1QiBgBROctsGzR2ul2u0sWS3eQkillU2dng2tbcq38d8zu1gFrh1szARmI8Z2ZEiiPBYLSQ~~&sessionId=
Python讲师,长沙·岳麓区·麓谷,湖南享学信息科技...,7-12K,大专,在线教育,https://www.zhipin.com/job_detail/18174242079377e81XZz2Ni5EFNW.html?lid=8nbJ7Jdr6PW.search.108&securityId=1wQbEs1n88EWV-417Lry-soX8mOzH8pnnjiL55W9oOka7ZNvlABAzQg3pFCgOSW3myOUhTnWx7pFeXxt9WvoKP6d9jV7Ih4Q_dkCZgwLJzKTijEMuDA~&sessionId=
Python讲师,淮安·清江浦区·健康西路,中青润心科技,5-8K,本科,院校,https://www.zhipin.com/job_detail/fe6bd33e089da7a51Xd439S9ElJR.html?lid=8nbJ7Jdr6PW.search.109&securityId=ADBEKIPGaVnHL-N1zDXc1l5hWPAF-g7mbt4uljXWKd2P3KkMyYOLz5ISsoGKyTyDugsIv8Ze1cpCG4nLqNyJe_lhIOqHkdmWcviCNUNRj1jvITGJaA~~&sessionId=
Python工程师,上海,中集飞瞳,250-260元/天,6个月,智能硬件,https://www.zhipin.com/job_detail/3aac0648e0f3d98e1nVy3d-_ElJQ.html?lid=8nbJ7Jdr6PW.search.110&securityId=33z5qmwxF9oUn-G1WkPn7Xkcw5ecUWh1XpABq0GdKFTUhTqfR_8Nq88yGKOSZGMLcOg-PjDrnXsFja4FlnySXqJXjlTlBAWgchn-EpDpLpx-UWB0JGA~&sessionId=
Python工程师,深圳·福田区·华强南,优思麦儿,10-15K,本科,电子商务,https://www.zhipin.com/job_detail/084ffbf0f80c95a31nV_29S5FVJR.html?lid=8nbJ7Jdr6PW.search.111&securityId=Q5Ml7bKH2abnd-N1IL3s3p4GDsWs5ZrohmV3Imn7Q69yjSsYR_YyCoBnXv2kmvM5LzCd1T6daIt-J6VeOdArsyibeYxABmeeB31hotFsKsETikLkrQ~~&sessionId=
python工程师,东莞·南城街道·水濂山,广东云景,11-18K,本科,通信/网络设备,https://www.zhipin.com/job_detail/efb6641db584438a1XF80t26FFdQ.html?lid=8nbJ7Jdr6PW.search.112&securityId=6dj3RprLzVO56-Z1f7Uo8dyVNLr3_PphgmL2GtASyw3VOs5VtkCnFf_E3w2TMQINiuj5fHJY1r9GghWPu2jkMCTtKf_732KAMrSz9duxJM4jhASBYPo9&sessionId=
Python工程师,济南·历下区·齐鲁软件园,山东维平,8-13K,学历不限,信息安全,https://www.zhipin.com/job_detail/e80df4cc37a7c5581XR72NW6FlRV.html?lid=8nbJ7Jdr6PW.search.113&securityId=bc5x-D334WiZO-t1QK18JRiav1cM9NTvRnbWGOGJWQIOlm9mbzt4HS0bT4AR4ShpEBRhpoDg_-FlKmdrqhRqjKxsBdKmFK7kN6FugeALHM8J6vrC&sessionId=
Python程序员,扬州,批改网,12-18K,学历不限,互联网,https://www.zhipin.com/job_detail/9965039ab476a62e1XV_2Ni5ElFV.html?lid=8nbJ7Jdr6PW.search.114&securityId=6i5syH0z6NnrA-O13P6lTx831DUyFYNXorh4_RBxGqIfQ9GXxW6KYdQztX41SsABZ_AQARmzjEFW_brsBaQASSt_2_UoPeBIjA7R4nvFajCpC667mg~~&sessionId=
Python工程师,苏州·昆山市·玉山,尼米兹,6-10K·13薪,大专,仪器仪表/工业自动化,https://www.zhipin.com/job_detail/60887c7d600761a81nd72tS0F1ZQ.html?lid=8nbJ7Jdr6PW.search.115&securityId=Rfd20KZ8_ubG9-_1tkadivOpx8UttlbqiyR14BUklSo0n4rm_OyJJOWo6_7wEVSG_YX8VihDz74dpBX6i-b4XjEgLB0gusmH_5LGcZVdV28KmDJgiux-&sessionId=
Python工程师,杭州·滨江区·长河,泰莱,10-15K·13薪,本科,互联网,https://www.zhipin.com/job_detail/6d96e7dae1ddbb9b1nJy09m6F1ZQ.html?lid=8nbJ7Jdr6PW.search.116&securityId=xXQudMYjVx2of-G1pXQhP6IrFU5pAu-gdUIaW4P3-lpbsb1cRxFPBhwfIdP0Kf1PnQkLrLPaTmT35m1VXPO7oZbMM--WdP_QY-V3V8SCkBQE61HLqMiC&sessionId=
python工程师,珠海·香洲区·唐家湾,国开启科,20-35K·13薪,本科,信息安全,https://www.zhipin.com/job_detail/3ad97c97ed3279d01XZ839u9E1NQ.html?lid=8nbJ7Jdr6PW.search.117&securityId=6p8yzM8BJ9puZ-w1As_LVrNef-cGcTZou3Cb7Zkc51l-0klMShoZIGJQ8do-KW25fuXbgg99icuZG--OHdGA-QdX9B9NNRf9kDniGUUwKJ7onVXk&sessionId=
Python程序员,三明·三元区·火车站,易兔软件,7-12K,学历不限,计算机软件,https://www.zhipin.com/job_detail/bb8f5318fc7f259d1nV-0ti-FVNW.html?lid=8nbJ7Jdr6PW.search.118&securityId=Op-q06_mMGoCc-w1GpbMlFgUQVylKpOW11TbJKO93TBSJTd6mcEsjA_CBOu3XWuE7bmwOuvL9x4_yGRJAFvtC-8_oecCG2_wf0c0M-prEyF0BCDNiHvq&sessionId=
python工程师,郑州·金水区·国基路,恒建云,5-10K,大专,计算机软件,https://www.zhipin.com/job_detail/0f5a3979d1914d8e1XB53tm6EVVV.html?lid=8nbJ7Jdr6PW.search.119&securityId=6wJZGvv7QVaPs-i1FetAINCkC4T5KjsXzZqXYTdXiooybCt9TwG56dvrPoD1XUIa8W83X_1ch96dfFzJa-0grkfd_5hlP98CIhxMB3uMsD2RgrNX3-Tk&sessionId=
python工程师,武汉·洪山区·关山,飞脉科技,5-9K,大专,数据服务,https://www.zhipin.com/job_detail/167aa43d56c97b531nZz2dq5F1I~.html?lid=8nbJ7Jdr6PW.search.120&securityId=0x_M9tkaFmSC2-11FCK83SheujTz6b9yEjlsCeZNugS-HGZFFKDDjEWGs6vp7_lo17XkLVLJ1oeqxnkUn_qckr6dDxJB2qUhn6aY6rKCPO6DNNI~&sessionId=
Python基础讲师,广州·天河区·车陂,中职通（广州）在线科技,7-12K,大专,在线教育,https://www.zhipin.com/job_detail/d5256698efd2110e1XZ-09S7ElJQ.html?lid=8nbJ7Jdr6PW.search.121&securityId=OHMtLoXmbENFS-A1KMnY2GTwrjh6cCjVzFgWMP8IXhmV2ZGs1NgAm7Uk7jgblTBihJdfXyqq0L74sqrAcFWnrnejRetEBudEXF6zj8QJiE_T-uGGRQ~~&sessionId=
Python工程师,北京·海淀区·四季青,长扬科技,13-25K,本科,互联网,https://www.zhipin.com/job_detail/e1c39a03dab519b033N72dy5FFI~.html?lid=8nbJ7Jdr6PW.search.122&securityId=CoEBgWToTrX2c-t1jw4r2BTAbk84UTY0bIOS8e873fHsaHK5P7HEBPtRmMgZrCpc2SXvYJmZZjcbiGF0XGZPMjqfuP1DYdZuR7NUPudUGtVe8QNCJw~~&sessionId=
python测开,成都·武侯区·铁像寺,博彦科技,11-14K·13薪,本科,计算机软件,https://www.zhipin.com/job_detail/43e4d45cb2f0a0631nx529S8FlNQ.html?lid=8nbJ7Jdr6PW.search.123&securityId=cz6uNux8AC_kM-R1bb06vdAdXxrdv4l2iMq1Ua5ZWYPlvP_xgRp6SsdS1XlsNGZ-9S3tNpTqyPQ5i8XT17nARqRFqHCnCkZCkaNIVSL5xW9-0an6&sessionId=
